"Inicio del informe","Fin del informe","Nombre del anuncio","Costo por resultados","Indicador de resultado",Resultados,"Importe gastado (COP)",Alcance,Impresiones,Frecuencia,ThruPlays,"Clics (todos)","CTR (todos)","Visitas al perfil de Instagram","Conversaciones con mensajes iniciadas","Citas programadas",Objetivo,"Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Nombre de la cuenta","Identificador de la campaÃ±a","Identificador de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Nombre del conjunto de anuncios","Nombre de la campaÃ±a"
2025-05-20,2026-05-21,"CÃCUTA MIRAFLOR",874.41985701,reach,282258,246812,282258,351639,1.245807,2869,609,0.173189,6,,,Reconocimiento,10000,Diario,Milotecucuta,120224289771830527,1177096264190146,120224289771820527,120224289771840527,"CÃCUTA MIRAFLOR","CÃCUTA MIRAFLOR"
2025-05-20,2026-05-21,"INTERACCIÃN LOTES DESDE 20 M",1327.90964379,actions:onsite_conversion.messaging_conversation_started_7d,1151,1528424,117105,328412,2.804423,20798,15834,4.821383,7,1151,,InteracciÃ³n,30000,Diario,Milotecucuta,120225088933690527,1177096264190146,120225088933710527,120225088933700527,"INTERACCIÃN LOTES DESDE 20 M","INTERACCIÃN LOTES DESDE 20 M"
2025-05-20,2026-05-21,"INTERACCIÃN UBICACIÃN",1297.17775016,actions:onsite_conversion.messaging_conversation_started_7d,1609,2087159,154006,339179,2.202375,45170,9262,2.730712,23,1609,,InteracciÃ³n,30000,Diario,Milotecucuta,120225439233570527,1177096264190146,120225439233560527,120225439233580527,"INTERACCIÃN UBICACIÃN","INTERACCIÃN UBICACIÃN"
2025-05-20,2026-05-21,"VENDEDOR CÃCUTA",1048.825,actions:onsite_conversion.messaging_conversation_started_7d,80,83906,6676,15920,2.384661,,458,2.876884,16,80,,InteracciÃ³n,15000,Diario,Milotecucuta,120225887993090527,1177096264190146,120225887993240527,120225887993140527,"VENDEDOR CÃCUTA","VENDEDOR CÃCUTA"
2025-05-20,2026-05-21,"INTERACCIÃN AGUA",1063.40641711,actions:onsite_conversion.messaging_conversation_started_7d,187,198857,12522,24453,1.952803,3500,1438,5.880669,2,187,,InteracciÃ³n,15000,Diario,Milotecucuta,120226369042810527,1177096264190146,120226369042820527,120226369042830527,"INTERACCIÃN ISAAC","INTERACCIÃN ISAAC"
2025-05-20,2026-05-21,"VENDEDOR CÃCUTA 2",553.59183673,actions:onsite_conversion.messaging_conversation_started_7d,49,27126,3200,4387,1.370938,547,207,4.718486,2,49,,InteracciÃ³n,10000,Diario,Milotecucuta,120226442768730527,1177096264190146,120226442768740527,120226442768720527,"VENDEDOR CÃCUTA 2","VENDEDOR CÃCUTA 2"
2025-05-20,2026-05-21,"VENDEDOR NUEVA",559.6373057,actions:onsite_conversion.messaging_conversation_started_7d,193,108010,10968,15893,1.449034,1639,756,4.756811,4,193,,InteracciÃ³n,10000,Diario,Milotecucuta,120226628932150527,1177096264190146,120226628932130527,120226628932140527,"VENDEDOR NUEVA","VENDEDOR NUEVA"
2025-05-20,2026-05-21,"INTERACCIÃN PRIMA",1656.47297297,actions:onsite_conversion.messaging_conversation_started_7d,148,245158,15555,34783,2.23613,3120,1672,4.806946,25,148,,InteracciÃ³n,15000,Diario,Milotecucuta,120226679770020527,1177096264190146,120226679770030527,120226679770040527,"INTERACCIÃN PRIMA","INTERACCIÃN PRIMA"
2025-05-20,2026-05-21,"Reconocimiento cuidado con las estafas",1243.51359759,reach,765062,951365,765062,1297276,1.695648,10879,2696,0.20782,14,2,,Reconocimiento,30000,Diario,Milotecucuta,120226973372350527,1177096264190146,120226973372340527,120226973372330527,"Reconocimiento cuidado con las estafas","Reconocimiento cuidado con las estafas"
2025-05-20,2026-05-21,"INTERACCIÃN EN MI LOTE ES FÃCIL",1416.21808511,actions:onsite_conversion.messaging_conversation_started_7d,1128,1597494,77846,203411,2.612992,16782,6625,3.256953,61,1128,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120228235151280527,1177096264190146,120228235151300527,120228235151290527,"INTERACCIÃN EN MI LOTE ES FÃCIL","INTERACCIÃN EN MI LOTE ES FÃCIL"
